Gene	Accession No.	Species
AK	DQ788493	Bombus securus
AK	DQ788494	Bombus semenoviellus
AK	DQ788495	Bombus shaposhnikovi
AK	EF032407	Bombus sibiricus
AK	DQ788496	Bombus sichelii
AK	DQ788497	Bombus simillimus
AK	DQ788498	Bombus sitkensis
AK	DQ788499	Bombus skorikovi
AK	EF032410	Bombus sonorus
AK	AF492874	Bombus soroeensis
AK	DQ788501	Bombus sporadicus
AK	DQ788502	Bombus steindachneri
AK	AF492893	Bombus subterraneus
AK	DQ788503	Bombus suckleyi
AK	DQ788504	Bombus sulfureus
AK	DQ788505	Bombus supremus
AK	AF492854	Bombus sushkini
AK	DQ788506	Bombus sylvarum
AK	DQ788507	Bombus sylvestris
AK	DQ788508	Bombus sylvicola
AK	AF492912	Bombus ternarius
AK	XM3401454	Bombus terrestris
AK	AF492885	Bombus terricola
AK	DQ788509	Bombus tibetanus
AK	AF492855	Bombus tichenkoi
AK	DQ788510	Bombus transversalis
AK	AF492870	Bombus tricornis
AK	AF492851	Bombus trifasciatus
AK	FJ175317	Bombus trifasciatus trifasciatus
AK	DQ788511	Bombus trinominatus
AK	EF032404	Bombus tucumanus
AK	AF492852	Bombus ussurensis
AK	EU163038	Bombus vagans
AK	AF492915	Bombus vandykei
AK	DQ788513	Bombus variabilis
AK	DQ788514	Bombus velox
AK	DQ788515	Bombus vestalis
AK	DQ788516	Bombus veteranus
AK	DQ788517	Bombus vogti
AK	AY267165	Bombus volucelloides
AK	DQ788518	Bombus vorticosus
AK	AF492913	Bombus vosnesenskii
AK	DQ788519	Bombus waltoni
AK	DQ788520	Bombus weisi
AK	DQ788521	Bombus wilmattae
AK	AF492873	Bombus wurflenii
AK	DQ788522	Bombus zonatus
AK	FJ042188	Celetrigona aff. longicornis CR-2009
AK	FJ042189	Cephalotrigona aff. capitata CR-2009
AK	FJ042191	Cephalotrigona capitata
AK	FJ042190	Cephalotrigona sp. B CR-2009
AK	DQ813033	Cephalotrigona sp. CR-2006
AK	EU163019	Cephalotrigona sp. MP106
AK	EU163080	Cephalotrigona sp. MP89
AK	DQ813034	Dactylurina staudingeri
AK	DQ813035	Dolichotrigona browni
AK	FJ042192	Dolichotrigona chachapoya
AK	FJ042193	Duckeola ghilianii
AK	EU184833	Epiclopus gayi
AK	EU163011	Eufriesea caerulescens
AK	EU163005	Euglossa asarophora
AK	EU163006	Euglossa decorata
AK	EU163009	Euglossa villosa
AK	EU163008	Eulaema peruviana
AK	EU163010	Exaerete azteca
AK	FJ042198	Friesella schrottkyi
AK	FJ042201	Frieseomelitta silvestrii
AK	FJ042199	Frieseomelitta trichocerata
AK	FJ042200	Frieseomelitta varia
AK	DQ813036	Geniotrigona incisa
AK	DQ788524	Geniotrigona thoracica
AK	FJ042203	Geotrigona fulvatra
AK	DQ813039	Geotrigona fulvohirta
AK	EU163028	Geotrigona kraussi
AK	FJ042204	Geotrigona mombuca
AK	FJ042202	Geotrigona subgrisea
AK	DQ813042	Heterotrigona bakeri
AK	DQ813040	Heterotrigona erythrogaster
AK	DQ788525	Heterotrigona itama
AK	DQ212138	Hylaeus amiculus
AK	DQ212142	Hylaeus anthracinus
AK	DQ212143	Hylaeus connectens
AK	DQ212144	Hylaeus difficilis
AK	DQ212137	Hylaeus elegans
AK	DQ212141	Hylaeus globula
AK	DQ212145	Hylaeus hula
AK	DQ212146	Hylaeus inquilina
AK	DQ212147	Hylaeus kauaiensis
AK	DQ212148	Hylaeus kokeensis
AK	DQ212149	Hylaeus kona
AK	DQ212139	Hylaeus leptocephalus
AK	DQ212150	Hylaeus longiceps
AK	DQ212151	Hylaeus pele
AK	DQ212152	Hylaeus pubescens
AK	DQ212140	Hylaeus punctatus
AK	DQ212153	Hylaeus solaris
AK	DQ813043	Hypotrigona gribodoi
AK	DQ813044	Hypotrigona ruspolii
AK	DQ813045	Lepidotrigona terminata
AK	DQ813047	Lepidotrigona ventralis
AK	FJ042206	Lestrimelitta aff. limao CR-2009
AK	FJ042207	Lestrimelitta limao
AK	FJ042205	Lestrimelitta maracaia
AK	EU163027	Lestrimelitta sp. MP115
AK	FJ042209	Leurotrigona muelleri
AK	FJ042208	Leurotrigona pusilla
AK	DQ813049	Liotrigona madecassa
AK	DQ813048	Liotrigona mahafalya
AK	DQ813050	Lophotrigona canifrons
AK	DQ813053	Meliplebeia ogouensis
AK	FJ042218	Melipona aff. brachychaeta CR-2009
AK	EU163053	Melipona aff. costaricaensis MP33
AK	FJ042210	Melipona aff. mimetica CR-2009
AK	FJ042214	Melipona aff. rufiventris CR-2009
AK	EU163085	Melipona amazonica
AK	EU163076	Melipona asilvai
AK	FJ042224	Melipona beecheii
