,Superfamily,Tag,Region,Country,Measurement,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,IT_cor_65,IT_cor,BL,Bl_cor
31,Apoidea,SpainBF197,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Xylocopinae,Xylocopini,Xylocopa,NA,Xylocopa_cantabrita,Female,NA,NA,-2.30058709,1.742219024,5.71,5.71,17.03,17.03
32,Apoidea,SpainBF2,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Anthophora,NA,Anthophora_dispar,Male,NA,NA,-2.989750202,1.324418957,3.76,3.76,13.04,13.04
33,Apoidea,SpainBF201,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Bombini,Bombus,NA,Bombus_terrestris,Female,NA,NA,-2.739540868,1.617406082,5.04,5.04,17.26,17.26
34,Apoidea,SpainBF216,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Bombini,Bombus,NA,Bombus_terrestris,Female,NA,NA,-2.739540868,1.658228077,5.25,5.25,16.7,16.7
35,Apoidea,SpainBF223,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Apini,Apis,NA,Apis_mellifera,Female,NA,NA,-3.63818634,1.124929597,3.08,3.08,11.17,11.17
36,Apoidea,SpainBF224,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Apini,Apis,NA,Apis_mellifera,Female,NA,NA,-3.680911284,1.147402453,3.15,3.15,11.98,11.98
37,Apoidea,SpainBF228,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Panurginae,Panurgini,Panurgus,NA,Panurgus_banksianus,Male,NA,NA,-4.206394066,0.770108222,2.16,2.16,13.01,13.01
38,Apoidea,SpainBF23,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_ovatula,Female,NA,NA,-4.853631545,0.412109651,1.51,1.51,7.28,7.28
39,Apoidea,SpainBF241,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Panurginae,Panurgini,Flavipanurgus,NA,Flavipanurgus_venustus,Male,NA,NA,-4.645992181,0.615185639,1.85,1.85,9.66,9.66
40,Apoidea,SpainBF242,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Panurginae,Panurgini,Flavipanurgus,NA,Flavipanurgus_venustus,Female,NA,NA,-4.677740879,0.593326845,1.81,1.81,7.37,7.37
41,Apoidea,SpainBF258,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Panurginae,Panurgini,Panurgus,NA,Panurgus_dargius,Male,NA,NA,-4.688551795,0.683096845,1.98,1.98,9.27,9.27
42,Apoidea,SpainBF261,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Panurginae,Panurgini,Panurgus,NA,Panurgus_cephalotes,Male,NA,NA,-4.635629393,0.593326845,1.81,1.81,8.82,8.82
43,Apoidea,SpainBF266,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Panurginae,Panurgini,Panurgus,NA,Panurgus_dargius,Male,NA,NA,-5.083205987,0.412109651,1.51,1.51,7.54,7.54
44,Apoidea,SpainBF273,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_rhyssonota,Female,NA,NA,-4.500810171,0.657520003,1.93,1.93,9.28,9.28
45,Apoidea,SpainBF275,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_nigroaenaea,Female,NA,NA,-4.062845895,0.940007258,2.56,2.56,12.66,12.66
46,Apoidea,SpainBF278,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_flavipes,Male,NA,NA,-4.528209145,0.662687973,1.94,1.94,9.71,9.71
47,Apoidea,SpainBF279,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_thoracica,Female,NA,NA,-3.132698129,1.166270937,3.21,3.21,15.8,15.8
48,Apoidea,SpainBF28,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_ferrugineicrus,Female,NA,NA,-4.947660495,0.418710335,1.52,1.52,8.35,8.35
49,Apoidea,SpainBF282,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_florea,Female,NA,NA,-4.767689115,1.011600912,2.75,2.75,13.43,13.43
50,Apoidea,SpainBF293,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_hispania,Male,NA,NA,-4.615220522,0.845868268,2.33,2.33,12.98,12.98
51,Apoidea,SpainBF317,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_hispania,Female,NA,NA,-3.085656981,1.08180517,2.95,2.95,15.73,15.73
52,Apoidea,SpainBF32,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Halictinae,Halictini,Lasioglossum,NA,Lasioglossum_leucozonium,Male,NA,NA,-5.132802928,0.3074847,1.36,1.36,6.82,6.82
53,Apoidea,SpainBF320,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Panurginae,Panurgini,Panurgus,NA,Panurgus_dargius,Female,NA,NA,-4.65646348,0.722705983,2.06,2.06,9.98,9.98
54,Apoidea,SpainBF334,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Nomadinae,Nomadini,Nomada,NA,Nomada_merceti,Male,NA,NA,-4.755993076,-0.061875404,0.94,0.94,4.68,4.68
55,Apoidea,SpainBF338,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Nomadinae,Nomadini,Nomada,NA,Nomada_merceti,Female,NA,NA,-4.976233867,-0.094310679,0.91,0.91,4.81,4.81
56,Apoidea,SpainBF34,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Halictinae,Halictini,Lasioglossum,NA,Lasioglossum_leucozonium,Male,NA,NA,-5.203007187,0.2390169,1.27,1.27,6.91,6.91
57,Apoidea,SpainBF346,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Nomadinae,Nomadini,Nomada,NA,Nomada_melathoracica,Female,NA,NA,-3.600868577,1.01523068,2.76,2.76,12.61,12.61
58,Apoidea,SpainBF352,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Nomadinae,Nomadini,Nomada,NA,Nomada_agrestis,Female,NA,NA,-3.669076827,0.985816795,2.68,2.68,11.57,11.57
59,Apoidea,SpainBF353,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Nomadinae,Nomadini,Nomada,NA,Nomada_agrestis,Male,NA,NA,-4.22673375,1.01523068,2.76,2.76,12.26,12.26
60,Apoidea,SpainBF354,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Nomadinae,Nomadini,Nomada,NA,Nomada_fucata,Female,NA,NA,-4.342805922,0.732367894,2.08,2.08,9.71,9.71
61,Apoidea,SpainBF46,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Halictinae,Halictini,Lasioglossum,NA,Lasioglossum_albocinctum,Female,NA,NA,-4.028556822,0.824175443,2.28,2.28,9.97,9.97
62,Apoidea,SpainBF548,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Eucerini,Eucera,NA,Eucera_elongatula,Male,NA,NA,-3.863232841,1.064710737,2.9,2.9,11.11,11.11
63,Apoidea,SpainBF555,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Eucerini,Eucera,NA,Eucera_rufa,Male,NA,NA,-3.442019376,1.241268589,3.46,3.46,14.66,14.66
