Reference,Source,Region,Location,Social_three,Social_strict,Nesting,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,IT,Spec.wgt,Type,N,Mean,Median,Max,VAR,VAR.TYPE,NOTES
Robertson (1966),GL07_S3,Cosmo,NA,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Megachilini,Megachile,,Megachile_rotundata,2.4,NA,FA,,100,,,,,
Packer (1970),GL07_S1,NorthAmerica,USA,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Megachilini,Megachile,,Megachile_rotundata,2.4,NA,H,,1400,,700,,,
Tasei and Delaude (1984),GL07_S3,Cosmo,NA,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Megachilini,Megachile,,Megachile_rotundata,2.4,NA,MR,,100,,,,,
Bacon et al. (1965),GL07_S3,NorthAmerica,NA,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Megachilini,Megachile,,Megachile_rotundata,2.4,NA,MR,,200,,,,,
Tepedino (1983),GL07_S3,Europe,NA,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Megachilini,Megachile,,Megachile_rotundata,2.4,NA,PM,,500,,,,,
Packer (1970),GL07_S3,NorthAmerica,NA,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Megachilini,Megachile,,Megachile_rotundata,2.4,NA,PM,,1800,,,,,
Gathmann and Tscharntke (2002) - Molitor (1937),GL07_S3,Europe,Germany,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Hoplitis,,Hoplitis_anthocopoides,2.4,NA,N_S,,200,,,,,
Kuhn-Neto et al. (2009),NEW,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_mandacaia,2.6,NA,FT,1204,500,,1840,,,
Kuhn-Neto et al. (2009),NEW,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_mandacaia,2.6,NA,FT,958,600,,1560,,,
Dyer and Seeley (1991),GL07_S2,Asia,Sri Lanka,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_cerana,2.7,NA,FT,,800,,,,,
Dyer and Seeley (1991),GL07_S2,Asia,Thailand,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_cerana,2.7,NA,FT,,1300,,,,,
Michener (1974),GL07_S2,Asia,NA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_cerana indica,2.7,NA,FT,,800,,,,,
