Reference,Source,Region,Location,Social_three,Social_strict,Nesting,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,IT,Spec.wgt,Type,N,Mean,Median,Max,VAR,VAR.TYPE,NOTES
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,31,377,372,,163,SD,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,36,431,208,,560,SD,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,24,467,535,,192,SD,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,33,488,179,,772,SD,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,10,557,70,,899,SD,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,67,773,553,,830,SD,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,656,963.9166667,536.9166667,,1659.75,SD,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,252,1154.25,660,,1314.5,SD,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,26,1298,921,,1189,SD,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,138,1351,295,,1758,SD,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,34,1384,1032,,1730,SD,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,74,1480,765,,1878,SD,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,97,1694,236,,2182,SD,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,66,2013,979,,2385,SD,
Schneider (1989),NEW,NorthAmerica,USA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera scutellata,NA,NA,WG,102,3058,2133,,3202,SD,
Charman et al. (2010),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Subterraneobombus,Bombus_distinguendus,NA,NA,GEN,,,,1246,,,
Charman et al. (2010),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Subterraneobombus,Bombus_distinguendus,NA,NA,MR,6,,,770,,,"Resighted (186,197,221,231,399,770)"
Desjardins and De Oliveir (2006),NEW,Europe,France,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_impatiens,NA,NA,NSA,,,,400,,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Melanobombus,Bombus_lapidarius,NA,NA,GEN,50,389.1,NA,2213,68.8,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Melanobombus,Bombus_lapidarius,NA,NA,GEN,79,458.1,NA,2213,43.5,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Melanobombus,Bombus_lapidarius,NA,NA,GEN,50,517.9,NA,2213,60.4,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Melanobombus,Bombus_lapidarius,NA,NA,GEN,66,548.4,NA,2213,44.3,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Melanobombus,Bombus_lapidarius,NA,NA,GEN,79,630.9,NA,2213,48.6,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Melanobombus,Bombus_lapidarius,NA,NA,GEN,66,755.2,NA,2213,44.2,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Melanobombus,Bombus_lapidarius,NA,NA,GEN,50,806.1,NA,2213,91.9,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Melanobombus,Bombus_lapidarius,NA,NA,GEN,79,861.8,NA,2213,67,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Melanobombus,Bombus_lapidarius,NA,NA,GEN,66,1031.6,NA,2213,61.2,SE,
Lepais et al. (2010),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Melanobombus,Bombus_lapidarius,NA,NA,M,13,,,5000,,,freq TABLE
Lepais et al. (2010),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Melanobombus,Bombus_lapidarius,NA,NA,M,1080,,,7000,,,freq TABLE
Westphal et al. (2006),NEW,Europe,Germany,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Melanobombus,Bombus_lapidarius,NA,NA,N_S,1155,2750,,,,,
Darvill et al. (2004),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_pascuorum,NA,NA,GEN,,312,,,NA,NA,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus_pascuorum,NA,NA,GEN,42,372.3,NA,2317,80.2,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus_pascuorum,NA,NA,GEN,68,407.5,NA,2317,55.4,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus_pascuorum,NA,NA,GEN,68,512.8,NA,2317,62.3,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus_pascuorum,NA,NA,GEN,42,514.1,NA,2317,77.1,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus_pascuorum,NA,NA,GEN,45,615.8,NA,2317,64.4,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus_pascuorum,NA,NA,GEN,68,654.8,NA,2317,77.3,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus_pascuorum,NA,NA,GEN,45,774.9,NA,2317,65.6,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus_pascuorum,NA,NA,GEN,42,803.6,NA,2317,132.3,SE,
Carvell et al. (2012),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus_pascuorum,NA,NA,GEN,45,989.5,NA,2317,79,SE,
Chapman et al. (2003),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus_pascuorum,NA,NA,GEN,66,NA,510,3200,NA,NA,
Lepais et al. (2010),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus_pascuorum,NA,NA,M,229,,,8000,,,freq TABLE
Lepais et al. (2010),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus_pascuorum,NA,NA,M,1641,,,8000,,,freq TABLE
Kreyer et al. (2004),NEW,Europe,Germany,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_pascuorum,NA,NA,MR,100,,,800,,,
Westphal et al. (2006),NEW,Europe,Germany,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus_pascuorum,NA,NA,N_S,242,1000,,,,,Obtainable somehow - Talk to Nacho
Westphal et al. (2006),NEW,europe,Germany,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_pratorum,NA,NA,N_S,52,250,,,,,
Darvill et al. (2004),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_terrestris,NA,NA,GEN,,625,,,NA,NA,
Chapman et al. (2003),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Bombus,Bombus_terrestris,NA,NA,GEN,96,2390,620,3900,NA,NA,
Carreck et al. (1999),Z2010_T1,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_terrestris,NA,NA,H,21,,,550,,,
Kraus et al. (2009),NEW,Europe,Germany,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_terrestris,NA,NA,M,34 colonies?,2600,,,140,SE,
Kraus et al. (2009),NEW,Europe,Germany,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_terrestris,NA,NA,M,34 colonies?,9900,,,1400,SE,
Kreyer et al. (2004),NEW,Europe,Germany,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_terrestris,NA,NA,MR,32,,,2200,,,
Wolf and Moritz (2008),NEW,Europe,Germany,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_terrestris,NA,NA,NSA,126,267.2,,800,180.3,SD,
Wolf and Moritz (2008),NEW,Europe,Germany,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_terrestris,NA,NA,NSA,126,583.3,,800,121.3,SD,
Osborne et al. (2008),NEW,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Bombus,Bombus_terrestris,NA,NA,N_S,154,,,4000,,,
Westphal et al. (2006),NEW,Europe,Germany,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Bombus,Bombus_terrestris agg.,NA,NA,N_S,1874,3000,,,,,
Rao and Strange (2012),NEW,NorthAmerica,USA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_vosnesenskii,NA,NA,M,434,2210,1925,3680,1108.241851,SD,
Rao and Strange (2012),NEW,NorthAmerica,USA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_vosnesenskii,NA,NA,M,296,4790,4370,7280,1503.311899,SD,
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Frieseomelitta,,Frieseomelitta_varia,NA,NA,LR,NA,,,1710,,,
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,,Geotrigona_inusitata,NA,NA,LR,NA,,,1710,,,
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_bicolor,NA,NA,LR,NA,,,2000,,,
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_compressipes,NA,NA,MR,NA,,,2470,,,
Rodrigues and Ribeiro (2014),NEW,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_mandacaia,NA,NA,H,113,,,2500,,,GRAPH
Rodrigues and Ribeiro (2014),NEW,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_mandacaia,NA,NA,H,3175,,,2700,,,GRAPH
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_marginata,NA,NA,MR,NA,,,800,,,
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_quadrifasciata,NA,NA,MR,NA,,,2000,,,
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_scutellaris,NA,NA,LR,NA,,,2000,,,
Silva et al. (2014),NEW,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_subnitida,NA,NA,FT,890,653.33,,740,75.71,SD,
Silva et al. (2014),NEW,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_subnitida,NA,NA,FT,890,886.66,,940,61.1,SD,
Silva et al. (2014),NEW,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_subnitida,NA,NA,FT,890,1120,,1160,40,SD,
Silva et al. (2014),NEW,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_subnitida,NA,NA,MR,350?,,3600,3600,,,
Silva et al. (2014),NEW,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_subnitida,NA,NA,MR,350?,,3600,3600,,,
Silva et al. (2014),NEW,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_subnitida,NA,NA,MR,350?,,3600,4000,,,come back to
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Nannotrigona,,Nannotrigona_testaceicornis,NA,NA,LR,NA,,,951,,,
Van Nieuwstadt and Iraheta (1996),NEW,CentralAmerica,Costa Rica,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Nannotrigona,,Nannotrigona_testaceicornis,NA,NA,FT,,,,120,,,GRAPH
Van Nieuwstadt and Iraheta (1996),NEW,CentralAmerica,Costa Rica,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Nannotrigona,,Nannotrigona_testaceicornis,NA,NA,MR,1080,,,600,,,GRAPH
Van Nieuwstadt and Iraheta (1996),NEW,CentralAmerica,Costa Rica,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Partamona,,Partamona_aff cupira,NA,NA,FT,,,,520,,,GRAPH
Van Nieuwstadt and Iraheta (1996),NEW,CentralAmerica,Costa Rica,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Partamona,,Partamona_aff cupira,NA,NA,MR,540,,,800,,,GRAPH
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Partamona,,Partamona_cupira,NA,NA,LR,NA,,,1710,,,
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Plebeia,,Plebeia_droryana,NA,NA,MR,NA,,,540,,,
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Plebeia,,Plebeia_poecilochroa,NA,NA,LR,NA,,,951,,,
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Scaptotrigona,,Scaptotrigona_postica,NA,NA,LR,NA,,,1710,,,
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Scaura,,Scaura_latitarsis,NA,NA,LR,NA,,,951,,,
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Tetragonisca,,Tetragonisca_angustula,NA,NA,LR,NA,,,951,,,
dos Santos et al. (2016),NEW,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Tetragonisca,,Tetragonisca_angustula,NA,NA,M,130,612,,1677,434,SD,
dos Santos et al. (2016),NEW,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Tetragonisca,,Tetragonisca_angustula,NA,NA,N_S,130,,,2250,,,
Smith et al. (2017),NEW,Australasia,Australia,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Tetragonula,,Tetragonula_carbonaria,NA,NA,MR,700,,333,712,,,
Van Nieuwstadt and Iraheta (1996),NEW,CentralAmerica,Costa Rica,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Trigona,Tetragonisca,Trigona_angustula,NA,NA,FT,,,,680,,,GRAPH
Van Nieuwstadt and Iraheta (1996),NEW,CentralAmerica,Costa Rica,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Trigona,Tetragonisca,Trigona_angustula,NA,NA,MR,1080,,,800,,,GRAPH
Van Nieuwstadt and Iraheta (1996),NEW,CentralAmerica,Costa Rica,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Trigona,Trigona,Trigona_corvina,NA,NA,FT,,,,320,,,GRAPH
Van Nieuwstadt and Iraheta (1996),NEW,CentralAmerica,Costa Rica,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Trigona,Trigona,Trigona_corvina,NA,NA,MR,1080,,,850,,,GRAPH
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Trigona,,Trigona_hypogea,NA,NA,LR,NA,,,1710,,,
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Trigona,,Trigona_recursa,NA,NA,LR,NA,,,1710,,,
Jaffe et al. (2016),NEW,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Trigona,,Trigona_spinipes,NA,NA,M,6,1742,,8700,3419,SD,
Araujo et al. (2004),Z2010_T1,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Trigona,,Trigona_spinipes,NA,NA,MR,NA,,,840,,,
López-Uribe et al. (2008),NEW,SouthAmerica,Brazil,AG,ES,Soil,Apoidea,Apidae,Apinae,Euglossini,Euglossa,,Euglossa_cordata,NA,NA,N_S,168,,,1020,,,
López-Uribe et al. (2008),NEW,SouthAmerica,Brazil,AG,ES,Soil,Apoidea,Apidae,Apinae,Euglossini,Eulaema,,Eulaema_nigrita,NA,NA,N_S,45,,,360,,,
Pasquet et al. (2008),NEW,Africa,Kenya,ES,ES,AG,Apoidea,Apidae,Xylocopinae,Xylocopini,Xylocopa,,Xylocopa_flavorufa,NA,0.0101,BT,41,570,570,1390,,,
Pasquet et al. (2008),NEW,Africa,Kenya,ES,ES,AG,Apoidea,Apidae,Xylocopinae,Xylocopini,Xylocopa,,Xylocopa_flavorufa,NA,0.0101,BT,34,600,600,2340,,,
Pasquet et al. (2008),NEW,Africa,Kenya,ES,ES,AG,Apoidea,Apidae,Xylocopinae,Xylocopini,Xylocopa,,Xylocopa_flavorufa,NA,0.0101,BT,31,660,660,5000,,,
Pasquet et al. (2008),NEW,Africa,Kenya,ES,ES,AG,Apoidea,Apidae,Xylocopinae,Xylocopini,Xylocopa,,Xylocopa_flavorufa,NA,0.0101,BT,134,1014,720,6040,,,FROM GRAPH
Pasquet et al. (2008),NEW,Africa,Kenya,ES,ES,AG,Apoidea,Apidae,Xylocopinae,Xylocopini,Xylocopa,,Xylocopa_flavorufa,NA,0.0101,BT,28,1495,1495,6040,,,
Esser (2005),Z2010_T1,Europe,,AG,ES,Soil,Apoidea,Colletidae,Colletinae,Colletini,Colletes,,Colletes_daviesanus,NA,NA,MR,74,,,2225,,,
Schmid-Egger et al. (1995),Z2010_T1,Europe,,AG,ES,Soil,Apoidea,Colletidae,Colletinae,Colletini,Colletes,,Colletes_hederae,NA,NA,N_S,NA,,,400,,,
Zurbuchen et al. (2015),NEW,Europe,Switzerland,SO,SO,Cavity,Apoidea,Colletidae,Hylaeinae,Halictina,Hylaeus,,Hylaeus_punctulatissimus,NA,NA,MR,28,,225,900,,,GRAPH
Zurbuchen et al. (2015),NEW,Europe,Switzerland,SO,SO,Cavity,Apoidea,Colletidae,Hylaeinae,Halictina,Hylaeus,,Hylaeus_punctulatissimus,NA,NA,MR,57,,100,1100,,,GRAPH
Beil et al. (2008),Z2010_T1,Europe,Germany,SO,SO,Soil,Apoidea,Halictidae,Halictinae,Halictini,Lasioglossum,,Lasioglossum_calceatum,NA,NA,PM,4,,,1000,,,
Beil et al. (2008),Z2010_T1,Europe,Germany,SO,SO,Soil,Apoidea,Halictidae,Halictinae,Halictini,Lasioglossum,,Lasioglossum_fulvicorne,NA,NA,PM,1,,,1250,,,
Bennet et al. (2017),NEW,Australasia,New Zealand,AGG,SO,Soil,Apoidea,Halictidae,Halictinae,Halictini,Lasioglossum,,Lasioglossum_sordidum,NA,NA,NPA,,115.5,104.5,,51.60620118,SD,
Bennet et al. (2017),NEW,Australasia,New Zealand,AGG,SO,Soil,Apoidea,Halictidae,Halictinae,Halictini,Lasioglossum,,Lasioglossum_sordidum,NA,NA,NPA,,156.8125,152.5,,66.08299706,SD,
Amand et al. (2000),Z2010_T1,NorthAmerica,USA,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Megachilini,Megachile,,Megachile_spp.,NA,NA,PM,NA,,,1000,,,
Herrmann (1999),Z2010_T1,Europe,,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Chelostoma,,Chelostoma_florisomne,NA,NA,H,6,,,2000,,,
Zurbuchen et al. (2015),NEW,Europe,Switzerland,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Chelostoma,,Chelostoma_rapunculi,NA,NA,PM,35,,,1275,,,GRAPH
Zurbuchen et al. (2015),NEW,Europe,Switzerland,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Hoplitis,,Hoplitis_adunca,NA,NA,MR,39,,300,1400,,,GRAPH
Hembach (1993),Z2010_T1,Europe,,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Osmia,,Osmia_adunca,NA,NA,NPA,NA,,,180,,,
Vicens and Bosch (2000),NEW,Europe,Spain,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Osmia,,Osmia_cornuta,NA,0.00455,H,50,,,2200,,,See table
Molitor (1937) in Guedot et al. (2009),NEW,Europe,,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Osmia,,Osmia_emarginata,NA,0.00387,H,1,,,1000,,,
Guédot et al. (2009),NEW,Europe,France,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Osmia,,Osmia_lignaria,NA,0.00335,H,60,,,1200,,,
Rust (1990),GL07_S3,USA,NA,AG,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Osmia,,Osmia_lignaria propinqua,NA,0.00335,PM,,1200,,,,,
Kawamura (1954) in Kitamura (1969),GL07_S3,Asia,Japan,AG,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Osmia,,Osmia_pedicornis,NA,0.0033,H,NA,500,,500,,,
Kitamura and Maeta (1969),GL07_S3,Asia,Japan,AG,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Osmia,,Osmia_pedicornis,NA,0.0033,H,43,700,,700,,,
Gathmann and Tscharntke (2002) - Gathmann (1998),GL07_S3,Europe,Germany,AG,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Osmia,,Osmia_rufa,NA,0.0027,N_S,30,600,,,,,
