Superfamily,Tag,Region,Country,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,BL,ITxBL
Apoidea,ALLO-GER-536,Europe,Germany,Prosselsheim1,Prosselsheim1,10.135947,49.868039,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0614,0.036904,0.024496,3.926,18.516,72.693816
Apoidea,ALLO-GER-537,Europe,Germany,Hausen1,Hausen1,10.022767,49.938633,NA,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0891,0.036904,0.052196,4.968,23.602,117.254736
Apoidea,ALLO-GER-538,Europe,Germany,Prosselsheim1,Prosselsheim1,10.135947,49.868039,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0912,0.036904,0.054296,4.622,23.107,106.800554
Apoidea,ALLO-GER-539,Europe,Germany,Hausen1,Hausen1,10.022767,49.938633,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0423,0.036904,0.005396,2.441,11.473,28.005593
Apoidea,ALLO-GER-540,Europe,Germany,Prosselsheim2,Prosselsheim2,10.131019,49.871225,NA,17/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0655,0.036904,0.028596,4.719,18.265,86.192535
Apoidea,ALLO-GER-541,Europe,Germany,Prosselsheim3,Prosselsheim3,10.1095,49.861344,NA,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0618,0.036904,0.024896,3.519,16.567,58.299273
Apoidea,ALLO-GER-542,Europe,Germany,Prosselsheim1,Prosselsheim1,10.135947,49.868039,NA,16/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0649,0.036904,0.027996,4.531,20.716,93.864196
Apoidea,ALLO-GER-543,Europe,Germany,Opferbaum3,Opferbaum3,10.067944,49.912992,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Male,0.0461,0.036904,0.009196,3.699,16.812,62.187588
Apoidea,ALLO-GER-544,Europe,Germany,Opferbaum4,Opferbaum4,10.086428,49.909314,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0877,0.036904,0.050796,4.548,22.11,100.55628
Apoidea,ALLO-GER-545,Europe,Germany,Prosselsheim2,Prosselsheim2,10.131019,49.871225,NA,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0728,0.036904,0.035896,4.6,21.565,99.199
