Superfamily,Tag,Region,Country,Measurement,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,BL
Apoidea,ALLO-AUS-172,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,4/5/17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_cingulata,Female,0.1192,0.067166,0.052034,4.0432398,12.61326712
Apoidea,ALLO-AUS-175,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,8/5/17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_cingulata,Male,0.096,0.067166,0.028834,3.4380892,9.830450093
Apoidea,ALLO-AUS-176,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,8/5/17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_cingulata,Female,0.1046,0.067166,0.037434,3.7931022,12.52298372
Apoidea,ALLO-AUS-236,Australasia,Australia,LK,COFFS,Woolgoolga,-30.11,153.2,0,3/3/17,NA,Hand,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_cingulata,Male,0.1264,0.096176,0.030224,4.263413,10.72837075
Apoidea,ALLO-AUS-11,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,-30,153.15,0,15/5/17,Bidens pilosa,Hand,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_pulchra,Female,0.1088,0.067166,0.041634,3.654354,12.22756659
Apoidea,ALLO-AUS-325,Australasia,Australia,LK,MAREE,MoroREF002,-16.9,145.43,0,9/8/17,Mango,Hand,Apidae,Apinae,Apini,Apis,Apis,Apis_cerana,Female,0.0497,0.038672,0.011028,2.3730502,8.344151878
Apoidea,ALLO-AUS-326,Australasia,Australia,LK,MAREE,MoroREF001,-16.9,145.43,0,9/8/17,Mango,Hand,Apidae,Apinae,Apini,Apis,Apis,Apis_cerana,Female,0.0512,0.038672,0.012528,2.3495998,8.676419372
Apoidea,ALLO-AUS-371,Australasia,Australia,LK,MAREE,MareebaMoro,-16.9,145.43,0,10/8/17,Mango,Hand,Apidae,Apinae,Apini,Apis,Apis,Apis_cerana,Female,0.0504,0.038672,0.011728,2.3945464,8.754419319
Apoidea,ALLO-AUS-372,Australasia,Australia,LK,MAREE,MareebaMoro,-16.9,145.43,0,10/8/17,Mango,Hand,Apidae,Apinae,Apini,Apis,Apis,Apis_cerana,Female,0.0495,0.038672,0.010828,2.3144242,8.475584861
Apoidea,ALLO-AUS-373,Australasia,Australia,LK,MAREE,MareebaMoro,-16.9,145.43,0,10/8/17,Mango,Hand,Apidae,Apinae,Apini,Apis,Apis,Apis_cerana,Female,0.0808,0.067166,0.013634,2.2623122,8.78512796
Apoidea,ALLO-AUS-374,Australasia,Australia,LK,MAREE,MareebaMoro,-16.9,145.43,0,7/8/17,Mango,Hand,Apidae,Apinae,Apini,Apis,Apis,Apis_cerana,Female,0.0493,0.038672,0.010628,2.406923,8.376703037
Apoidea,ALLO-AUS-375,Australasia,Australia,LK,MAREE,MareebaMoro,-16.9,145.43,0,10/8/17,Mango,Hand,Apidae,Apinae,Apini,Apis,Apis,Apis_cerana,Female,0.0498,0.038672,0.011128,2.2974878,8.34230936
Apoidea,ALLO-AUS-376,Australasia,Australia,LK,MAREE,MareebaMoro,-16.9,145.43,0,10/8/17,Mango,Hand,Apidae,Apinae,Apini,Apis,Apis,Apis_cerana,Female,0.0487,0.038672,0.010028,2.3300578,8.325112521
Apoidea,ALLO-AUS-306,Australasia,Australia,LK,KATHE,ManbullooREF092,-14.62,132.45,0,21/6/17,Mango,Hand,Apidae,Apinae,Apini,Apis,Apis,Apis_mellifera,Female,0.0594,0.038672,0.020728,2.895473,10.25177264
Apoidea,ALLO-AUS-327,Australasia,Australia,LK,MAREE,CetinecREF043,-16.99,145.46,0,14/8/17,Mango,Hand,Apidae,Apinae,Apini,Apis,Apis,Apis_mellifera,Female,0.0601,0.038672,0.021428,3.0088166,10.22904825
Apoidea,ALLO-AUS-328,Australasia,Australia,LK,MAREE,MarcelloREF056,-16.9,145.43,0,14/8/17,Mango,Hand,Apidae,Apinae,Apini,Apis,Apis,Apis_mellifera,Female,0.0602,0.038672,0.021528,2.823819,9.828607574
Apoidea,ALLO-AUS-366,Australasia,Australia,LK,STANT,StanthorpeAPPLE078_2017,-28.53,151.91,0,5/10/17,Apple,Hand,Apidae,Apinae,Apini,Apis,Apis,Apis_mellifera,Female,0.0565,0.038672,0.017828,2.7625874,9.542403042
Apoidea,ALLO-AUS-367,Australasia,Australia,LK,STANT,StanthorpeAPPLE020_2017,-28.51,151.88,0,26/9/17,Apple,Hand,Apidae,Apinae,Apini,Apis,Apis,Apis_mellifera,Female,0.063,0.038672,0.024328,3.1508218,10.41882765
Apoidea,ALLO-AUS-370,Australasia,Australia,LK,MAREE,MareebaMoro,-16.9,145.43,0,10/8/17,Mango,Hand,Apidae,Apinae,Apini,Apis,Apis,Apis_mellifera,Female,0.0565,0.038672,0.017828,2.7932032,9.154859995
Apoidea,ALLO-AUS-04,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,-30,153.15,0,11/5/17,Bidens pilosa,Hand,Apidae,Apinae,Meliponini,Austroplebeia,Austroplebeia,Austroplebeia_australis,Female,0.0689,0.067166,0.001734,1.5770394,4.256831788
Apoidea,ALLO-AUS-142,Australasia,Australia,LK,COFFS,COFFSFeatherstones,-30,153.1,0,8/5/17,NA,Vane,Apidae,Apinae,Meliponini,Austroplebeia,Austroplebeia,Austroplebeia_australis,Female,0.0018,0,0.0018,1.4454566,3.992123304
Apoidea,ALLO-AUS-144,Australasia,Australia,LK,COFFS,COFFSFeatherstones,-30,153.1,0,8/5/17,NA,Vane,Apidae,Apinae,Meliponini,Austroplebeia,Austroplebeia,Austroplebeia_australis,Female,0.0023,0,0.0023,1.4760724,3.826910816
Apoidea,ALLO-AUS-145,Australasia,Australia,LK,COFFS,COFFSFeatherstones,-30,153.1,0,2/5/17,NA,Vane,Apidae,Apinae,Meliponini,Austroplebeia,Austroplebeia,Austroplebeia_australis,Female,0.0026,0,0.0026,1.4715126,4.001950069
Apoidea,ALLO-AUS-147,Australasia,Australia,LK,COFFS,COFFSPonds,-30.01,153.1,0,2/5/17,NA,Vane,Apidae,Apinae,Meliponini,Austroplebeia,Austroplebeia,Austroplebeia_australis,Female,0.0023,0,0.0023,1.4024642,3.981682366
Apoidea,ALLO-AUS-150,Australasia,Australia,LK,COFFS,COFFSPonds,-30.01,153.1,0,2/5/17,NA,Vane,Apidae,Apinae,Meliponini,Austroplebeia,Austroplebeia,Austroplebeia_australis,Female,0.0023,0,0.0023,1.4649986,4.070737424
Apoidea,ALLO-AUS-152,Australasia,Australia,LK,COFFS,COFFSPonds,-30.01,153.1,0,8/5/17,NA,Vane,Apidae,Apinae,Meliponini,Austroplebeia,Austroplebeia,Austroplebeia_australis,Female,0.0023,0,0.0023,1.4141894,3.856391112
Apoidea,ALLO-AUS-153,Australasia,Australia,LK,COFFS,COFFSPonds,-30.01,153.1,0,8/5/17,NA,Vane,Apidae,Apinae,Meliponini,Austroplebeia,Austroplebeia,Austroplebeia_australis,Female,0.0021,0,0.0021,1.3021486,3.645729836
Apoidea,ALLO-AUS-170,Australasia,Australia,LK,COFFS,COFFSCamellia,-30,153.15,0,9/5/17,Camellia,Hand,Apidae,Apinae,Meliponini,Austroplebeia,Austroplebeia,Austroplebeia_australis,Female,0.0696,0.067166,0.002434,1.6499962,4.127241324
Apoidea,ALLO-AUS-174,Australasia,Australia,LK,COFFS,COFFSCamellia,-30,153.15,0,9/5/17,Camellia,Hand,Apidae,Apinae,Meliponini,Austroplebeia,Austroplebeia,Austroplebeia_australis,Female,0.0695,0.067166,0.002334,1.5607544,4.417745065
Apoidea,ALLO-AUS-355,Australasia,Australia,LK,KATHE,FoxaliciousREF143,-14.52,132.45,0,8/7/17,Mango,Hand,Apidae,Apinae,Meliponini,Austroplebeia,Austroplebeia,Austroplebeia_australis,Female,0.0415,0.038672,0.002828,1.3979044,4.148737372
Apoidea,ALLO-AUS-302,Australasia,Australia,LK,KATHE,Kings producersREF129,-14.52,132.45,0,3/6/17,Mango,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp1,Female,0.0407,0.038672,0.002028,1.0897922,4.072579943
Apoidea,ALLO-AUS-329,Australasia,Australia,LK,MAREE,MarcelloREF055,-16.9,145.43,0,14/8/17,Mango,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp1,Female,0.0393,0.038672,0.000628,1.1712172,4.917067565
Apoidea,ALLO-AUS-348,Australasia,Australia,LK,KATHE,ManbullooREF109,-14.62,132.45,0,26/6/17,Mango,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp1,Female,0.04,0.038672,0.001328,1.4278688,5.221697282
Apoidea,ALLO-AUS-406,Australasia,Australia,LK,KATHE,KatherineWM070_2017,-14.54,132.13,0,1/8/17,Watermelon,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp1,Female,0.041,0.038672,0.002328,1.1875022,4.540579629
Apoidea,ALLO-AUS-407,Australasia,Australia,LK,KATHE,KatherineWM064_2017,-14.54,132.13,0,1/8/17,Watermelon,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp1,Female,0.0416,0.038672,0.002928,1.306057,5.001209241
Apoidea,ALLO-AUS-408,Australasia,Australia,LK,KATHE,KatherineWM063_2017,-14.54,132.13,0,1/8/17,Watermelon,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp1,Female,0.0413,0.038672,0.002628,1.2370086,4.879603023
Apoidea,ALLO-AUS-358,Australasia,Australia,LK,KATHE,ManbullooREF100,-14.62,132.45,0,22/7/17,Mango,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp2,Female,0.0402,0.038672,0.001528,1.0663418,4.512327679
Apoidea,ALLO-AUS-15,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,-30,153.15,0,15/5/17,Bidens pilosa,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp3,Female,0.0704,0.067166,0.003234,1.6942914,6.485050764
Apoidea,ALLO-AUS-49,Australasia,Australia,LK,COFFS,COFFSS1S,-30.01,153.15,0,16/5/17,Pultanea,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp3,Female,0.0697,0.067166,0.002534,1.4663014,6.375728003
Apoidea,ALLO-AUS-158,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,8/5/17,NA,Vane,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp3,Female,0.0744,0.067166,0.007234,1.898831,7.615742918
Apoidea,ALLO-AUS-245,Australasia,Australia,LK,COFFS,COFFS_ S4A,-30,153.11,0,24/9/17,Vaccinium,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp3,Female,0.0431,0.038672,0.004428,1.6271972,4.96620139
Apoidea,ALLO-AUS-246,Australasia,Australia,LK,COFFS,COFFS_ B81,-29.99,153.14,0,26/9/17,Vaccinium,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp3,Female,0.0436,0.038672,0.004928,1.6493448,6.352389436
Apoidea,ALLO-AUS-247,Australasia,Australia,LK,COFFS,COFFS_ B81,-29.99,153.14,0,18/9/17,Vaccinium,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp3,Female,0.0397,0.038672,0.001028,1.40051,5.372783794
Apoidea,ALLO-AUS-248,Australasia,Australia,LK,COFFS,COFFS_B910,-30.01,153.15,0,21/9/17,Vaccinium,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp3,Female,0.0419,0.038672,0.003228,1.4011614,5.716106399
Apoidea,ALLO-AUS-251,Australasia,Australia,LK,COFFS,COFFS_ B46,-30,153.16,0,18/9/17,Vaccinium,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp3,Female,0.0432,0.038672,0.004528,1.4454566,5.404720781
Apoidea,ALLO-AUS-262,Australasia,Australia,LK,COFFS,COFFS_9-10,-30.01,153.15,0,12/9/17,Vaccinium,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp3,Female,0.0456,0.038672,0.006928,1.732724,7.285317943
Apoidea,ALLO-AUS-263,Australasia,Australia,LK,COFFS,COFFS_ B81,-29.99,153.14,0,18/9/17,Vaccinium,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp3,Female,0.0433,0.038672,0.004628,1.4956144,5.235209084
Apoidea,ALLO-AUS-275,Australasia,Australia,LK,COFFS,COFFS_B910,-30.01,153.15,0,14/9/17,Vaccinium,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp3,Female,0.0476,0.038672,0.008928,1.768551,7.253380957
Apoidea,ALLO-AUS-288,Australasia,Australia,LK,COFFS,COFFS_B910,-30.01,153.15,0,12/9/17,Vaccinium,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp3,Female,0.0424,0.038672,0.003728,1.2304946,5.719177263
