ID,Country,Spec.wgt,IT,Ancho_cabeza_mm,BL,Notes,Pollinator_sex,Pollinator_gen_sp,Taxa,Family,Subfamily,Tribe,Genus,Subgenus,Species
BF279,Spain,0.0436,3.21,4.36,15.8,NA,Female,Andrena thoracica,Bee,Andrenidae,Andreninae,Andrenini,Andrena,NA,thoracica
BF28,Spain,0.0071,1.52,1.8,8.35,NA,Female,Andrena ferrugineicrus,Bee,Andrenidae,Andreninae,Andrenini,Andrena,NA,ferrugineicrus
BF282,Spain,0.0085,2.75,3.82,13.43,NA,Female,Andrena florea,Bee,Andrenidae,Andreninae,Andrenini,Andrena,NA,florea
BF293,Spain,0.0099,2.33,3.63,12.98,NA,Male,Andrena hispania,Bee,Andrenidae,Andreninae,Andrenini,Andrena,NA,hispania
BF317,Spain,0.0457,2.95,4.38,15.73,NA,Female,Andrena hispania,Bee,Andrenidae,Andreninae,Andrenini,Andrena,NA,hispania
BF32,Spain,0.0059,1.36,1.8,6.82,NA,Male,Lasioglossum leucozonium,Bee,Halictidae,Halictinae,Halictini,Lasioglossum,NA,leucozonium
BF320,Spain,0.0095,2.06,2.75,9.98,NA,Female,Panurgus dargius,Bee,Andrenidae,Panurginae,Panurgini,Panurgus,NA,dargius
BF334,Spain,0.0086,0.94,1.37,4.68,NA,Male,Nomada merceti,Bee,Apidae,Nomadinae,Nomadini,Nomada,NA,merceti
BF338,Spain,0.0069,0.91,1.35,4.81,NA,Female,Nomada merceti,Bee,Apidae,Nomadinae,Nomadini,Nomada,NA,merceti
BF34,Spain,0.0055,1.27,1.82,6.91,NA,Male,Lasioglossum leucozonium,Bee,Halictidae,Halictinae,Halictini,Lasioglossum,NA,leucozonium
BF346,Spain,0.0273,2.76,3.59,12.61,NA,Female,Nomada melathoracica,Bee,Apidae,Nomadinae,Nomadini,Nomada,NA,melathoracica
BF352,Spain,0.0255,2.68,4.01,11.57,NA,Female,Nomada agrestis,Bee,Apidae,Nomadinae,Nomadini,Nomada,NA,agrestis
BF353,Spain,0.0146,2.76,3.97,12.26,NA,Male,Nomada agrestis,Bee,Apidae,Nomadinae,Nomadini,Nomada,NA,agrestis
BF354,Spain,0.013,2.08,2.86,9.71,NA,Female,Nomada fucata,Bee,Apidae,Nomadinae,Nomadini,Nomada,NA,fucata
BF46,Spain,0.0178,2.28,2.76,9.97,NA,Female,Lasioglossum albocinctum,Bee,Halictidae,Halictinae,Halictini,Lasioglossum,NA,albocinctum
BF548,Spain,0.021,2.9,3.7,11.11,NA,Male,Eucera elongatula,Bee,Apidae,Apinae,Eucerini,Eucera,NA,elongatula
BF555,Spain,0.032,3.46,4.25,14.66,NA,Male,Eucera rufa,Bee,Apidae,Apinae,Eucerini,Eucera,NA,rufa
BF559,Spain,0.0353,2.86,3.61,10.87,NA,NA,Eucera elongatula,Bee,Apidae,Apinae,Eucerini,Eucera,NA,elongatula
BF572,Spain,0.0275,3.38,3.71,12.22,NA,Female,Eucera chrysopyga,Bee,Apidae,Apinae,Eucerini,Eucera,NA,chrysopyga
BF585,Spain,0.0301,3.71,4.01,12.03,NA,Female,Eucera chrysopyga,Bee,Apidae,Apinae,Eucerini,Eucera,NA,chrysopyga
BF586,Spain,0.0267,3.88,4.87,13.03,NA,Male,Anthophora hispanica,Bee,Apidae,Apinae,Anthophorini,Anthophora,NA,hispanica
BF593,Spain,0.0555,4.59,5.22,16.37,NA,Male,Anthophora aestivalis,Bee,Apidae,Apinae,Anthophorini,Anthophora,NA,aestivalis
BF601,Spain,0.1123,6.54,6.72,21,NA,Female,Anthophora hispanica,Bee,Apidae,Apinae,Anthophorini,Anthophora,NA,hispanica
BF602,Spain,0.1133,6.53,6.45,22,NA,Male,Anthophora hispanica,Bee,Apidae,Apinae,Anthophorini,Anthophora,NA,hispanica
BF606,Spain,0.0421,3.67,5.1,13.54,NA,Female,Anthophora atroalba,Bee,Apidae,Apinae,Anthophorini,Anthophora,NA,atroalba
BF614,Spain,0.0118,2.39,3.46,8.65,NA,NA,Xylocopa cantabrita,Bee,Apidae,Xylocopinae,Xylocopinini,Xylocopa,NA,cantabrita
