"","Family","Tribe","Country","Measurer","Subfamily","Genus","Species","Sex","Latitude","Spec.wgt","Wgt.SD","IT","IT.SD","Cane"
"36","Andrenidae","Andrenini","Germany","LK","Andreninae","Andrena","Andrena_nigroaenea","Female",10.0715061714286,0.0043432,0.00118670771464586,2.84181271528571,0.0945241694847689,0.0251317518267208
"37","Andrenidae","Andrenini","Germany","LK","Andreninae","Andrena","Andrena_nitida","Female",10.0945212,0.0110125,0.0104772011768411,2.8251949535,0.00353553390593266,0.0247704494918681
"38","Andrenidae","Andrenini","Switzerland","LK","Andreninae","Andrena","Andrena_nitida","Female",47.3769,0.0376474285714286,0.00742655693435118,2.86833333333333,0.125223048450491,0.0257148220786551
"39","Andrenidae","Andrenini","Spain","IB","Andreninae","Andrena","Andrena_ovatula","Female",37.396355,0.042616,0.00797757969422918,1.51,0.120034434168518,0.00527426819459968
"40","Andrenidae","Andrenini","Spain","IB","Andreninae","Andrena","Andrena_rhyssonota","Female",37.396355,0.047421,0.012810542533398,1.93,0.218655741596998,0.00966762466034055
"41","Andrenidae","Andrenini","Switzerland","LK","Andreninae","Andrena","Andrena_subopara","Female",47.3769,0.013321,NA,1.447,NA,0.004747479295185
"42","Andrenidae","Andrenini","Spain","IB","Andreninae","Andrena","Andrena_thoracica","Female",37.396355,0.00999,NA,3.21,NA,0.0339517218821616
"43","Andrenidae","Andrenini","Switzerland","LK","Andreninae","Andrena","Andrena_viridescens","Female",47.3769,0.013396,0.00028284271247462,1.377,0.00868571574111313,0.0042004132624749
"44","Andrenidae","Andrenini","Germany","LK","Andreninae","Andrena","Andrena_wilkella","Female",10.0518195,0.0113555556666667,0.00243523485216218,2.0273844655,0.152752523165195,0.0109170723726636
"45","Megachilidae","Anthidiini","USA","JC","Megachilinae","Anthidiellum","Anthidiellum_notatum","Female",32.531318,0.017091,NA,2.116,NA,0.0121333563725298
"46","Megachilidae","Anthidini","Germany","LK","Megachilinae","Anthidium","Anthidium_scapulare","Female",10.065003,0.011996,NA,2.169872559,NA,0.0129104083958624
"47","Apidae","Anthophorini","Spain","IB","Apinae","Anthophora","Anthophora_atroalba","Female",37.396355,0.0421,NA,3.67,NA,0.047257115387241
"48","Apidae","Anthophorini","Spain","IB","Apinae","Anthophora","Anthophora_hispanica","Female",37.396355,0.1123,NA,6.54,NA,0.196785569311374
"49","Apidae","Anthophorini","Germany","LK","Apinae","Anthophora","Anthophora_plumipes","Female",10.131019,0.039834,NA,3.91719422,NA,0.0555092118415258
"50","Apidae","Anthophorini","Switzerland","LK","Apinae","Anthophora","Anthophora_plumipes","Female",47.3769,0.068296,NA,4.044,NA,0.0600520215850776
"51","Apidae","Anthophorini","USA","JC","Apinae","Anthophora","Anthophora_urbana","Female",32.531318,0.069921,NA,3.3124,NA,0.0366889056016513
"52","Apidae","Apini","Australia","LK","Apinae","Apis","Apis_cerana","Female",-16.9,0.02575,0.000777817459305202,2.207260329125,0.0494974746830582,0.0134666337487768
"53","Apidae","Apini","Spain","IB","Apinae","Apis","Apis_mellifera","Female",37.396355,0.01144125,0.00115727706893627,3.115,0.046771055941968,0.0315244488829818
"54","Apidae","Apini","Australia","LK","Apinae","Apis","Apis_mellifera","Female",-20.4083333333333,0.0206113333333333,0.00248307604931195,2.73972257,0.140268474965895,0.0229610404851388
"55","Apidae","Apini","Germany","LK","Apinae","Apis","Apis_mellifera","Female",9.755828,0.0194986666666667,0.0019845264758459,2.81741543133333,0.217354998888895,0.0246023764264057
"56","Apidae","Apini","Switzerland","LK","Apinae","Apis","Apis_mellifera","Female",47.3769,0.027181,NA,3.011,NA,0.0289891148996996
"57","Halictidae","Augochlorini","USA","JC","Halictinae","Augochlora","Augochlora_pura","Female",32.531318,0.011462,NA,1.8709,NA,0.00895303544524011
"58","Apidae","Meliponini","Australia","LK","Apinae","Austroplebeia","Austroplebeia_australis","Female",-28.5963636363636,0.00227545454545455,0.000314900734720122,1.38535053736364,0.0913162721208397,0.00426358797731434
"59","Apidae","Bombini","Germany","LK","Apinae","Bombus","Bombus_hortorum","Female",10.053631,0.0646,0,4.886358924,0.148492424049175,0.0958129016786691
