,Superfamily,Tag,Region,Country,Measurer,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,IT_cor,BL,Bl_cor
21,Syrphoidea,ALLO-AUS-33,Australasia,Australia,LK,COFFS,COFFSCamellia,-30,153.15,0,11/05/2017,Camellia,Hand,Syrphidae,Eristalinae,Eristalini,Eristalinus,NA,Eristalinus_punctulatus,Male,0.0874,0.067166,0.020234,6.203,3.809713978,18.991,11.66375595
22,Syrphoidea,ALLO-AUS-38,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,-30,153.15,0,11/05/2017,Bidens pilosa,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0711,0.067166,0.003934,3.773,2.317274035,14.857,9.124765527
23,Syrphoidea,ALLO-AUS-40,Australasia,Australia,LK,COFFS,COFFSRoadside - Ditch,-30,153.14,0,11/05/2017,Bidens pilosa,Hand,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,Syrphini_syrsp4,Male,0.0694,0.067166,0.002234,2.069,1.270723556,10.337,6.348704399
24,Syrphoidea,ALLO-AUS-41,Australasia,Australia,LK,COFFS,COFFSRoadside - Ditch,-30,153.14,0,11/05/2017,Bidens pilosa,Hand,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,Syrphini_syrsp4,Male,0.0682,0.067166,0.001034,1.855,1.139290574,11.5192,7.074779502
25,Syrphoidea,ALLO-AUS-47,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,16/05/2017,Bidens pilosa,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.044,0.038672,0.005328,3.127,1.920518396,12.599,7.737963309
26,Syrphoidea,ALLO-AUS-56,Australasia,Australia,LK,COFFS,COFFSS1S,-30.01,153.15,0,16/05/2017,Vaccinium,Hand,Syrphidae,Eristalinae,Eristalini,Eristalinus,NA,Eristalinus_punctulatus,Male,0.0947,0.067166,0.027534,6.191,3.802343904,18.502,11.36342544
27,Syrphoidea,ALLO-AUS-59,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,16/05/2017,Bidens pilosa,Hand,Syrphidae,Syrphinae,Syrphini,Simosyrphus,NA,Simosyrphus_syrsp2,Male,0.0461,0.038672,0.007428,3.683,2.261998481,17.002,10.44216622
28,Syrphoidea,ALLO-AUS-63,Australasia,Australia,LK,COFFS,COFFSS1S,-30.01,153.15,0,16/05/2017,Vaccinium,Hand,Syrphidae,Eristalinae,Eristalini,Eristalinus,NA,Eristalinus_punctulatus,Male,0.0988,0.067166,0.031634,6.362,3.907367455,19.754,12.13236981
29,Syrphoidea,ALLO-AUS-69,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,16/05/2017,Bidens pilosa,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Male,0.0438,0.038672,0.005128,3.364,2.066077353,14.395,8.841017686
30,Syrphoidea,ALLO-AUS-72,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,17/05/2017,Bidens pilosa,Hand,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,Syrphini_syrsp4,Female,0.0411,0.038672,0.002428,2.391,1.468487203,11.092,6.812404875
31,Syrphoidea,ALLO-AUS-87,Australasia,Australia,LK,COFFS,COFFSKelly Potts,-30.14,153.19,0,23/05/2017,Vaccinium,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0412,0.038672,0.002528,3.207,1.969652221,13.723,8.428293554
32,Syrphoidea,ALLO-AUS-88,Australasia,Australia,LK,COFFS,COFFSParminder,-30.09,153.16,0,23/05/2017,Bidens pilosa,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Male,0.0432,0.038672,0.004528,3.003,1.844360966,15.278,9.383332283
33,Syrphoidea,ALLO-AUS-92,Australasia,Australia,LK,COFFS,COFFSKelly Potts,-30.14,153.19,0,23/05/2017,Vaccinium,Hand,Syrphidae,Syrphinae,Syrphini,Episyrphus,NA,Episyrphus_spisp1,Male,0.0734,0.067166,0.006234,3.947,2.424140105,15.597,9.579253411
34,Syrphoidea,ALLO-AUS-93-1,Australasia,Australia,LK,COFFS,COFFSCOMPOUND-YELLOW,-29.99,153.14,0,23/05/2017,NA,Vane,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0455,0.038672,0.006828,3.663,2.249715025,13.511,8.298088917
35,Syrphoidea,ALLO-AUS-94,Australasia,Australia,LK,COFFS,COFFSParminder,-30.09,153.16,0,23/05/2017,Bidens pilosa,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Male,0.045,0.038672,0.006328,3.889,2.388518081,15.27,9.3784189
36,Syrphoidea,ALLO-AUS-97,Australasia,Australia,LK,COFFS,COFFSHardip,-30.01,153.11,0,23/05/2017,Weed/Carrot,Hand,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,Syrphini_syrsp4,Female,0.0404,0.038672,0.001728,2.044,1.255369236,10.922,6.707995496
