Country,Family,Subfamily,Tribe,Species
Australia,Apidae,Xylocopinae,Allodapini,Braunsapis_brasp3
Spain,Apidae,Xylocopinae,Ceratinini,Ceratina_cucurbitina
Switzerland,Apidae,Xylocopinae,Ceratinini,Ceratina_cyanea
Spain,Apidae,Apinae,Eucerini,Eucera_chrysopyga
Spain,Apidae,Apinae,Eucerini,Eucera_elongatula
Switzerland,Apidae,Apinae,Eucerini,Eucera_longicornis
Switzerland,Apidae,Apinae,Eucerini,Eucera_nigrescens
Spain,Apidae,Apinae,Eucerini,Eucera_rufa
Australia,Apidae,Xylocopinae,Allodapini,Exoneura_bicolor
Australia,Apidae,Xylocopinae,Allodapini,Exoneura_hamulata
Germany,Apidae,Apinae,Melectini,Melecta_punctata
Spain,Apidae,Nomadinae,Nomadini,Nomada_agrestis
Germany,Apidae,Nomadinae,Nomadini,Nomada_fabriciana
Switzerland,Apidae,Nomadinae,Nomadini,Nomada_fabriciana
Switzerland,Apidae,Nomadinae,Nomadini,Nomada_flava
Spain,Apidae,Nomadinae,Nomadini,Nomada_fucata
Spain,Apidae,Nomadinae,Nomadini,Nomada_melathoracica
Spain,Apidae,Nomadinae,Nomadini,Nomada_merceti
Switzerland,Apidae,Nomadinae,Nomadini,Nomada_sexfasciata
Australia,Apidae,Apinae,Meliponini,Tetragonula_carbonaria
Australia,Apidae,Apinae,Meliponini,Tetragonula_mellipes
Australia,Apidae,Apinae,Melectini,Thyreus_nitidulus
Australia,Apidae,Apinae,Melectini,Thyreus_waroonensis
Australia,Apidae,Xylocopinae,Xylocopini,Xylocopa_bombylans
Spain,Apidae,Xylocopinae,Xylocopini,Xylocopa_cantabrita
Australia,Apidae,Xylocopinae,Xylocopini,Xylocopa_lieftincki
Spain,Apidae,Xylocopinae,Xylocopini,Xylocopa_valga
Australia,Colletidae,Euryglossinae,Euryglossinae,Callohesma_calsp1
Spain,Colletidae,Colletinae,Colletini,Colletes_acutus
Spain,Colletidae,Colletinae,Colletini,Colletes_nigricans
Switzerland,Colletidae,Colletinae,Colletini,Colletes_similis
Australia,Colletidae,Euryglossinae,Euryglossinae,Euhesma_euhsp1
